country,beer_servings,spirit_servings,wine_servings,total_for_beer_servings,total_for_spirit_servings,total_for_wine_servings,total_all,,,,,
France,60,151,370,0.9581976,2.6794044,6.565428,10.20303,,,,,
Slovakia,152,293,116,2.42743392,5.1991092,2.0583504,9.68489352,,,,,
St. Lucia,161,315,71,2.57116356,5.589486,1.2598524,9.42050196,,,ABV Values per serving,,
Switzerland,167,100,280,2.66698332,1.77444,4.968432,9.40985532,,,Beer,0.045,
Portugal,138,67,339,2.20385448,1.1888748,6.0153516,9.40808088,,,Wine,0.12,
Grenada,67,438,28,1.06998732,7.7720472,0.4968432,9.33887772,,,Spirit,0.4,
Russian Federation,141,326,73,2.25176436,5.7846744,1.2953412,9.33177996,,,,,
Luxembourg,98,133,271,1.56505608,2.3600052,4.8087324,8.73379368,,,,,
United Kingdom,183,126,195,2.92250268,2.2357944,3.460158,8.61845508,,,,Conversion Factor,
Hungary,74,215,185,1.18177704,3.815046,3.282714,8.27953704,,,,1oz = 0.029574  Liters,
Slovenia,153,51,276,2.44340388,0.9049644,4.8974544,8.24582268,,,,,
Andorra,3,138,312,0.04790988,2.4487272,5.5362528,8.03288988,,,,,
Ukraine,181,237,45,2.89056276,4.2054228,0.798498,7.89448356,,,Serving Size(in Oz),, In Liters
Belarus,15,373,42,0.2395494,6.6186612,0.7452648,7.6034754,,,Beer,12,0.354888
Uruguay,184,35,220,2.93847264,0.621054,3.903768,7.46329464,,,Wine,5,0.14787
Romania,140,122,167,2.2357944,2.1648168,2.9633148,7.363926,,,Spirit,1.5,0.044361
Thailand,171,258,1,2.73086316,4.5780552,0.0177444,7.32666276,,,,,
Spain,158,157,112,2.52325368,2.7858708,1.9873728,7.29649728,,,,,
Usa,185,158,84,2.9544426,2.8036152,1.4905296,7.2485874,,,,,
Denmark,46,79.262,278,0.73461816,1.406456633,4.9329432,7.074017993,,,,,
Sweden,166,60,186,2.65101336,1.064664,3.3004584,7.01613576,,,,,
Poland,137,215,56,2.18788452,3.815046,0.9936864,6.99661692,,,,,
Haiti,72,326,1,1.14983712,5.7846744,0.0177444,6.95225592,,,average consumption for all countries,3.84987936,
Serbia,148,131,127,2.36355408,2.3245164,2.2535388,6.94160928,,,,,
Greece,66,112,218,1.05401736,1.9873728,3.8682792,6.90966936,,,,,
Lithuania,97,244,56,1.54908612,4.3296336,0.9936864,6.87240612,,,1. France,,
Netherlands,121,88,190,1.93236516,1.5615072,3.371436,6.86530836,,,,,
St. Kitts & Nevis,160,205,32,2.5551936,3.637602,0.5678208,6.7606164,,,,,
Croatia,42,87,254,0.67073832,1.5437628,4.5070776,6.72157872,,,2. 3.84987936,3.84987936,
St. Vincent & The Grenadines,162,221,11,2.58713352,3.9215124,0.1951884,6.70383432,,,3. 1 Country: Afghanistan,,
Bulgaria,25,252,94,0.399249,4.4715888,1.6679736,6.5388114,,,,,
Guyana,71,302,1,1.13386716,5.3588088,0.0177444,6.51042036,,,,,
New Zealand,122,79,175,1.94833512,1.4018076,3.10527,6.45541272,,,,,
Cook Islands,39,254,74,0.62282844,4.5070776,1.3130856,6.44299164,,,,,
Latvia,92,216,62,1.46923632,3.8327904,1.1001528,6.40217952,,,,,
Dominica,48,286,26,0.76655808,5.0748984,0.4613544,6.30281088,,,,,
Ireland,80,118,165,1.2775968,2.0938392,2.927826,6.299262,,,,,
Italy,82,42,237,1.30953672,0.7452648,4.2054228,6.26022432,,,,,
